ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
511645,1021,8,2,0,0,0,0,0,0,144
511645,280,8,175,141,49,16,0,72,0,128
511655,280,8,176,142,49,16,0,72,0,128
511665,280,8,177,143,49,16,0,72,0,128
511675,280,8,162,128,49,16,0,72,0,128
511685,280,8,163,129,49,16,0,72,0,128
511695,280,8,164,130,49,16,0,72,0,128
511705,280,8,165,131,49,16,0,72,0,128
511715,280,8,166,132,49,16,0,72,0,128
511725,280,8,167,133,49,16,0,72,0,128
511735,280,8,168,134,49,16,0,72,0,128
511745,280,8,169,135,49,16,0,72,0,128
511755,280,8,170,136,49,16,0,72,0,128
511765,280,8,171,137,49,16,0,72,0,128
511775,280,8,172,138,49,16,0,72,0,128
511785,280,8,173,139,49,16,0,72,0,128
511795,280,8,174,140,49,16,0,72,0,128
511805,280,8,175,141,49,16,0,72,0,128
511815,280,8,176,142,49,16,0,72,0,128
511825,280,8,177,143,49,16,0,72,0,128
511835,280,8,162,128,49,16,0,72,0,128
511845,280,8,163,129,49,16,0,72,0,128
511855,280,8,164,130,49,16,0,72,0,128
511865,280,8,165,131,49,16,0,72,0,128
511875,280,8,166,132,49,16,0,72,0,128
511885,280,8,167,133,49,16,0,72,0,128
511895,280,8,168,134,49,16,0,72,0,128
511905,280,8,169,135,49,16,0,72,0,128
511915,280,8,170,136,49,16,0,72,0,128
511925,280,8,171,137,49,16,0,72,0,128
511935,280,8,172,138,49,16,0,72,0,128
511945,280,8,173,139,49,16,0,72,0,128
511955,280,8,174,140,49,16,0,72,0,128
511965,280,8,175,141,49,16,0,72,0,128
511975,280,8,176,142,49,16,0,72,0,128
511985,280,8,177,143,49,16,0,72,0,128
511985,1016,8,3,8,128,0,25,73,20,33
511985,280,8,162,128,49,16,0,72,0,128
512005,280,8,163,129,49,16,0,72,0,128
512025,280,8,164,130,49,16,0,72,0,128
512035,280,8,165,131,49,16,0,72,0,128
512035,280,8,166,132,49,16,0,72,0,128
512045,280,8,167,133,49,16,0,72,0,128
512055,280,8,168,134,49,16,0,72,0,128
512055,2047,8,4,153,22,28,106,170,188,16
512065,280,8,169,135,49,16,0,72,0,128
512075,280,8,170,136,49,16,0,72,0,128
512085,280,8,171,137,49,16,0,72,0,128
512095,1021,8,1,0,6,0,0,8,18,128
512095,280,8,172,138,49,16,0,72,0,128
512105,280,8,178,139,49,16,5,72,0,128
512115,280,8,183,140,49,16,9,72,0,128
512125,280,8,187,141,49,16,12,72,0,128
512135,280,8,192,142,49,16,16,72,0,128
512135,1021,8,2,0,0,0,0,0,0,144
512145,280,8,196,143,49,16,19,72,0,128
512155,280,8,184,128,49,16,22,72,0,128
512165,280,8,188,129,49,16,25,72,0,128
512175,280,8,191,130,49,16,27,72,0,128
512185,280,8,195,131,49,16,30,72,0,128
512195,280,8,198,132,49,16,32,72,0,128
512205,280,8,203,133,49,16,36,72,0,128
512215,280,8,208,134,49,16,40,72,0,128
512225,280,8,213,135,49,16,44,72,0,128
512235,280,8,218,136,49,16,48,72,0,128
512245,280,8,224,137,49,16,53,72,0,128
512255,280,8,229,138,49,16,57,72,0,128
512265,280,8,233,139,49,16,60,72,0,128
512275,280,8,237,140,49,16,63,72,0,128
512285,280,8,241,141,49,16,66,72,0,128
512296,280,8,243,142,49,16,67,72,0,128
512305,280,8,246,143,49,16,69,72,0,128
512315,280,8,231,128,49,16,69,72,0,128
512325,280,8,232,129,49,16,69,72,0,128
512335,280,8,233,130,49,16,69,72,0,128
512355,280,8,234,131,49,16,69,72,0,128
512365,280,8,235,132,49,16,69,72,0,128
512375,280,8,236,133,49,16,69,72,0,128
512375,280,8,237,134,49,16,69,72,0,128
512385,280,8,238,135,49,16,69,72,0,128
512395,280,8,239,136,49,16,69,72,0,128
512415,280,8,240,137,49,16,69,72,0,128
512425,280,8,241,138,49,16,69,72,0,128
512435,280,8,242,139,49,16,69,72,0,128
512435,280,8,243,140,49,16,69,72,0,128
512445,280,8,244,141,49,16,69,72,0,128
512455,280,8,245,142,49,16,69,72,0,128
512455,2047,8,8,128,68,0,144,98,20,48
512465,280,8,246,143,49,16,69,72,0,128
512475,280,8,231,128,49,16,69,72,0,128
512485,280,8,232,129,49,16,69,72,0,128
512495,280,8,233,130,49,16,69,72,0,128
512505,280,8,234,131,49,16,69,72,0,128
512515,280,8,235,132,49,16,69,72,0,128
512525,280,8,236,133,49,16,69,72,0,128
512535,280,8,237,134,49,16,69,72,0,128
512535,1021,8,0,0,0,60,32,0,0,128
512545,280,8,238,135,49,16,69,72,0,128
512555,280,8,239,136,49,16,69,72,0,128
512565,280,8,241,137,49,16,70,72,0,128
512575,280,8,243,138,49,16,71,72,0,128
512585,280,8,246,139,49,16,73,72,0,128
512585,1021,8,1,0,6,0,0,8,18,128
512595,280,8,249,140,49,16,75,72,0,128
512605,280,8,252,141,49,16,77,72,0,128
512625,280,8,0,142,49,16,80,72,0,128
512635,280,8,3,143,49,16,82,72,0,128
512645,280,8,246,128,49,16,84,72,0,128
512645,1021,8,2,0,0,0,0,0,0,144
512645,280,8,249,129,49,16,86,72,0,128
512655,280,8,251,130,49,16,87,72,0,128
512665,280,8,254,131,49,16,89,72,0,128
512685,280,8,0,132,49,16,90,72,0,128
512695,280,8,2,133,49,16,91,72,0,128
512705,280,8,4,134,49,16,92,72,0,128
512705,280,8,6,135,49,16,93,72,0,128
512715,280,8,9,136,49,16,95,72,0,128
512725,280,8,12,137,49,16,97,72,0,128
512745,280,8,16,138,49,16,100,72,0,128
512755,280,8,20,139,49,16,103,72,0,128
512765,280,8,24,140,49,16,106,72,0,128
512765,280,8,28,141,49,16,109,72,0,128
512775,280,8,32,142,49,16,112,72,0,128
512785,280,8,35,143,49,16,114,72,0,128
512805,280,8,22,128,49,16,116,72,0,128
512815,280,8,24,129,49,16,117,72,0,128
512826,280,8,26,130,49,16,118,72,0,128
512826,280,8,27,131,49,16,118,72,0,128
512835,280,8,28,132,49,16,118,72,0,128
512845,280,8,28,133,49,16,117,72,0,128
512865,2047,8,3,51,12,141,225,32,39,52
512865,280,8,29,134,49,16,117,72,0,128
512875,280,8,30,135,49,16,117,72,0,128
512885,280,8,30,136,49,16,116,72,0,128
512895,280,8,31,137,49,16,116,72,0,128
512905,280,8,32,138,49,16,116,72,0,128
512915,280,8,32,139,49,16,115,72,0,128
512925,280,8,32,140,49,16,114,72,0,128
512935,280,8,31,141,49,16,112,72,0,128
512945,280,8,29,142,49,16,109,72,0,128
512955,280,8,26,143,49,16,105,72,0,128
512955,280,8,8,128,49,16,102,72,0,128
512955,2047,8,4,153,22,28,106,170,188,16
512956,280,8,4,129,49,16,97,72,0,128
512966,280,8,254,130,49,16,90,72,0,128
512985,280,8,247,131,49,16,82,72,0,128
512985,1016,8,3,8,128,0,25,73,20,33
512995,280,8,239,132,49,16,73,72,0,128
513005,280,8,230,133,49,16,63,72,0,128
513015,280,8,223,134,49,16,55,72,0,128
513025,280,8,216,135,49,16,47,72,0,128
513035,280,8,210,136,49,16,40,72,0,128
513035,1021,8,0,0,0,60,32,0,0,128
513035,280,8,205,137,49,16,34,72,0,128
513045,280,8,202,138,49,16,30,72,0,128
513045,2047,8,5,18,32,161,64,4,128,82
513065,280,8,198,139,49,16,25,72,0,128
513085,280,8,194,140,49,16,20,72,0,128
513096,280,8,190,141,49,16,15,72,0,128
513096,1021,8,1,0,6,0,0,8,18,128
513097,280,8,184,142,49,16,8,72,0,128
513097,280,8,177,143,49,16,0,72,0,128
513125,280,8,163,129,49,16,0,72,0,128
513145,280,8,164,130,49,16,0,72,0,128
513145,1021,8,2,0,0,0,0,0,0,144
513155,280,8,165,131,49,16,0,72,0,128
513165,280,8,166,132,49,16,0,72,0,128
513175,280,8,167,133,49,16,0,72,0,128
513185,280,8,168,134,49,16,0,72,0,128
513195,280,8,169,135,49,16,0,72,0,128
513195,280,8,170,136,49,16,0,72,0,128
513205,280,8,171,137,49,16,0,72,0,128
513205,280,8,172,138,49,16,0,72,0,128
