ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1231495,2047,8,7,38,0,133,32,68,35,112
1231495,280,8,55,105,149,48,0,232,8,0
1231515,280,8,57,107,149,48,0,232,8,0
1231545,280,8,58,108,149,48,0,232,8,0
1231555,280,8,59,109,149,48,0,232,8,0
1231595,280,8,47,97,149,48,0,232,8,0
1231605,1021,8,1,0,6,0,0,8,18,128
1231625,280,8,51,101,149,48,0,232,8,0
1231645,280,8,52,102,149,48,0,232,8,0
1231685,280,8,56,106,149,48,0,232,8,0
1231705,280,8,59,109,149,48,0,232,8,0
1231715,280,8,60,110,149,48,0,232,8,0
1231745,280,8,46,96,149,48,0,232,8,0
1231755,280,8,47,97,149,48,0,232,8,0
1231795,280,8,51,101,149,48,0,232,8,0
1231805,280,8,53,103,149,48,0,232,8,0
1231825,280,8,55,105,149,48,0,232,8,0
1231875,280,8,59,109,149,48,0,232,8,0
1231905,280,8,47,97,149,48,0,232,8,0
1231925,280,8,49,99,149,48,0,232,8,0
1231965,280,8,52,102,149,48,0,232,8,0
1231975,280,8,53,103,149,48,0,232,8,0
1232005,2047,8,3,51,12,141,225,32,39,52
1232015,280,8,57,107,149,48,0,232,8,0
1232035,280,8,59,109,149,48,0,232,8,0
1232055,280,8,61,111,149,48,0,232,8,0
1232075,280,8,47,97,149,48,0,232,8,0
1232095,280,8,49,99,149,48,0,232,8,0
1232105,1021,8,1,0,6,0,0,8,18,128
1232135,280,8,53,103,149,48,0,232,8,0
1232175,280,8,57,107,149,48,0,232,8,0
1232205,2047,8,5,18,32,161,64,4,128,82
1232217,280,8,61,111,149,48,0,232,8,0
1232235,280,8,47,97,149,48,0,232,8,0
1232255,280,8,49,99,149,48,0,232,8,0
1232275,280,8,51,101,149,48,0,232,8,0
1232295,280,8,53,103,149,48,0,232,8,0
1232315,280,8,55,105,149,48,0,232,8,0
1232325,280,8,57,107,149,48,0,232,8,0
1232345,280,8,59,109,149,48,0,232,8,0
1232365,280,8,61,111,149,48,0,232,8,0
1232375,280,8,46,96,149,48,0,232,8,0
1232395,2047,8,7,38,0,133,32,68,35,112
1232405,280,8,49,99,149,48,0,232,8,0
1232425,280,8,51,101,149,48,0,232,8,0
1232455,280,8,53,103,149,48,0,232,8,0
1232465,280,8,54,104,149,48,0,232,8,0
1232475,280,8,55,105,149,48,0,232,8,0
1232505,2047,8,8,128,68,0,144,98,20,48
1232515,280,8,59,109,149,48,0,232,8,0
1232535,280,8,61,111,149,48,0,232,8,0
1232555,280,8,49,97,149,48,2,232,8,0
1232595,280,8,50,101,149,48,7,232,0,0
1232605,1021,8,1,0,6,0,0,8,18,128
1232625,280,8,57,105,149,48,10,232,0,0
1232705,2047,8,1,165,78,67,67,165,84,1
1232815,280,8,109,107,149,48,11,232,48,1
1232835,280,8,111,109,149,48,11,232,48,1
1232855,280,8,241,111,149,48,11,232,176,1
